CPU,Min Power(Watts),Max power(Watts),Delta(Watts),Relative Performance (%)-Avg user Benchmark,IPC per core,MIPS,Frequency,Efficiency
Dual E5606,168,259,91,38.1,,,,14.71042471
Phenom II X4 955 BE,64,163,99,59.5,3.5,42820,3.0 GHz,36.50306748
Athlon II X4 640,41,135,94,51.6,,,,38.22222222
Xeon W3550,48,154,106,68,,,,44.15584416
Atom N330/ION ,31,42,11,20.9,2.4,3846,1.6 GHz,49.76190476
Xeon X3460,48,137,89,68.8,,,,50.2189781
Xeon X3440,48,135,87,67.8,,,,50.22222222
Athlon II X2 260,34,84,50,45.8,,,,54.52380952
Sempron 140,31,67,36,36.7,,,,54.7761194
Core i7-2600k,32,122,90,75.9,8.61,117160 ,3.4 GHz,62.21311475
Core i5-2500k,32,122,90,76.3,6.288,83000 ,3.3 GHz,62.54098361
Atom D510,25,32,7,21,,8414,,65.625
xeon E3-1230,37,107,70,73.8,,,,68.97196262
xeon E3-1240,37,108,71,74.9,,,,69.35185185
Xeon E3-1220,36,103,67,74.2,,,,72.03883495
Xeon E3-1280,37,109,72,80.5,,,,73.85321101
AMD E-350,16,32,16,27.7,3.125,10000 ,1.6 GHz,86.5625
